Rho Pvalue Target
0.286515837104072 0.0418813386826141 vldhp-vpfk-vhk
0.291764705882353 0.0381485126165316 vpk-vhbadp-vta
0.249230769230769 0.0779344093442928 vru5pe-vldhp-vhbb13pg
0.281447963800905 0.04576676635332 vpk-vald-veno
0.249502262443439 0.0776029414401716 vhbmgatp-vhbb13pg-vbpgsp3
0.282533936651584 0.0449101444786828 vpfk-vpk-vmgfru16p2
0.32868778280543 0.0189397361917159 vta-vpgk-vhbb13pg
0.22841628959276 0.106878247500061 vmgfru16p2-vpglhydrolysis-vhbb13pg
0.274389140271493 0.0516678573184282 vtpi-vbpgsp5-voxnadh
0.269502262443439 0.0561064052503468 vmgfru16p2-vpgm-vpglhydrolysis
0.291493212669683 0.0383345759584433 vtpi-vbpgsp7-vp6gdh
0.277828054298642 0.0487197058862066 vpgm-vpgk-vbpgsp2
0.186787330316742 0.188832534975076 vmgb23pg-vhbadp-vbpgsp8
0.291855203619909 0.0380866582612523 vtk3-vgpi
0.209502262443439 0.139822748126385 vbpgsp1-vbpgsp6
0.268778280542986 0.0567895690747546 vbpgsp6-vbpgsp7-vhbadp
0.208054298642534 0.142628602969049 vbpgsp1-vhbb13pg-vp6gdh
0.205067873303167 0.148548650567058 vmgb13pg-vtk3-vg6pdh
0.263800904977376 0.0616712200646223 vbpgsp4-vmgatp-vbpgsp6
0.241357466063348 0.0880460677225364 vgssgr-vbpgsp9-vgpi
0.143438914027149 0.314295233681723 vhbb13pg-vtk5
0.197828054298643 0.163658051540006 vta-vbpgsp7-vbpgsp9
0.25420814479638 0.0720336283860018 vmgatp-vp6gdh-voxnadh
0.236289592760181 0.0950828322665426 vak-vldhp-vhbb13pg
0.332036199095023 0.0177054774749748 vhbadp-vtk2-vldh
0.286787330316742 0.0416811278663263 vbpgsp7-vgpi
0.158461538461538 0.265866911621641 vmgglc16p2-vtk6-vox
0.180180995475113 0.205168824377732 vhbb13pg-vbpgsp9-vhbmgatp
0.358733031674208 0.0100981855269836 vpgk-vhbadp-vlactransport
0.289864253393665 0.0394668296426091 vpgm-vak-vtk1
0.266334841628959 0.0591452774234889 vgapdh-vmgglc16p2-vhbmgatp
0.274389140271493 0.0516678573184282 vbpgsp4-vpfk-voxnadh
0.348054298642534 0.0127076489445981 vpgk-vtk1-vtk5
0.176742081447964 0.214058904689345 vmgglc16p2-vr5pi-vg6pdh
0.325339366515837 0.0202466392670936 veno-vpgk-vak
0.243076923076923 0.0857540315822101 vox-vbpgsp8-vbpgsp5
0.19393665158371 0.172232445376793 vmgb13pg-vhbmgatp-vmgatp
0.175475113122172 0.217401608769097 vtk1-vmgglc16p2-vmgphos
0.2489592760181 0.0782670016360244 vmgphos-vbpgsp4
0.275203619909502 0.0509567681356613 vpgm-vldhp-vbpgsp4
0.20868778280543 0.141395892668809 vtk3-vtk2-vg6pdh
0.217013574660633 0.125929096243169 vpyrtransport-vbpgsp5-vtk4
0.259276018099547 0.0663981584457183 vtpi-vtk6-vgpi
0.205067873303167 0.148548650567058 vr5pi-vmgb13pg-vpglhydrolysis
