ER;Metabolite;Rep;Tissue
0.594331275917084;asparagine;2;Brain
0.197592673961955;aspartate;2;Brain
0.145929698378481;asymmetric dimethylarginine / symmetric dimethylarginine;2;Brain
0.126794915844837;beta-hydroxybutyrate;2;Brain
0.278806551170659;betaine;2;Brain
0.292515336941544;butyrobetaine;2;Brain
0.0931067639125416;cAMP;2;Brain
0.0939027869919843;carnitine;2;Brain
0.0522945819734082;chenodeoxycholate/deoxycholate;2;Brain
0.00752605674776813;choline;2;Brain
0.114999908471081;citrate;2;Brain
0.33184405322494;citrulline;2;Brain
0.0600549962452012;cotinine;2;Brain
0.0130050456794173;creatine;2;Brain
0.0886635319106691;creatinine;2;Brain
0.833870673896378;cystathionine;2;Brain
0.836442074046387;cytidine;2;Brain
0.429767586560403;dCMP;2;Brain
0.1291646050913;dUMP;2;Brain
0.383210264627889;erythrose-4-phosphate;2;Brain
0.149189549683641;fructose/glucose/galactose;2;Brain
0.0362120528952569;fumarate/maleate/alpha-ketoisovalerate;2;Brain
0.0663362898164766;gentisate;2;Brain
0.842878795137974;glucuronate;2;Brain
0.0173198865386794;glutamate;2;Brain
0.0363297020490025;glutamine;2;Brain
2.04931006807998;glutathione oxidized;2;Brain
0.704805802375118;glutathione reduced;2;Brain
0.116350500600097;glycerol;2;Brain
0.105112482621744;glycine;2;Brain
0.439234669026322;glycocholate;2;Brain
1.2092168060082;guanine;2;Brain
0.75700548642977;guanosine;2;Brain
1.46402052148169;hexose diphosphate;2;Brain
1.826385164332;hexose monophosphate;2;Brain
0.94194924044642;histamine;2;Brain
0.137327254693572;histidine;2;Brain
0.175623870934304;hydroxyproline;2;Brain
0.00302153558811332;hypoxanthine;2;Brain
0.0877015122017172;inosine;2;Brain
0.060201346145831;inositol;2;Brain
0.23540941183293;isocitrate;2;Brain
0.193229852367772;isoleucine;2;Brain
0.557719518335652;kynurenic acid;2;Brain
0.39947968725821;kynurenine;2;Brain
0.0153617550716919;lactate;2;Brain
0.486887299202456;lactose;2;Brain
0.133038818219631;leucine;2;Brain
0.193644585096439;lysine;2;Brain
0.022306357515031;malate;2;Brain
0.398946307315577;malondialdehyde;2;Brain
0.178663954323244;methionine;2;Brain
0.179599376896513;methionine sulfoxide;2;Brain
0.0102437056350528;niacinamide;2;Brain
0.528854452827608;ornithine;2;Brain
0.227299072250653;orotate;2;Brain
0.0605366684138983;oxalate;2;Brain
0.0955294583404927;pantothenate;2;Brain
0.127752959815029;pentose monophosphate;2;Brain
0.132424719901375;phenylalanine;2;Brain
0.417057829114589;phosphocholine;2;Brain
0.45785393407202;phosphocreatine;2;Brain
1.16204464080632;phosphoenolpyruvate;2;Brain
0.333417451332356;phosphoethanolamine;2;Brain
0.330885865620754;pipecolic acid;2;Brain
0.119900422476282;proline;2;Brain
0.108216885844201;putrescine;2;Brain
0.224154780133604;pyroglutamic acid;2;Brain
0.135513982048286;pyruvate;2;Brain
0.492812925551391;quinolinate;2;Brain
0.0849969819420719;serine;2;Brain
0.415860943126712;serotonin;2;Brain
0.287487682991158;sorbitol;2;Brain
0.221096055915246;suberate;2;Brain
0.102525272031149;succinate;2;Brain
0.443385137456073;sucrose;2;Brain
0.136485427810448;taurine;2;Brain
1.18158439183324;taurocholate;2;Brain
0.222234353356115;taurodeoxycholate/taurochenodeoxycholate;2;Brain
0.283910148229514;thiamine;2;Brain
0.136869197407729;threonine;2;Brain
0.180239125373433;thymine;2;Brain
0.0302397735751507;trimethylamine-N-oxide;2;Brain
0.11200281084503;tryptophan;2;Brain
0.23511723515602;tyrosine;2;Brain
0.271830601515659;uracil;2;Brain
1.62967107806906;urate;2;Brain
0.832456570862894;uridine;2;Brain
0.235380363240158;valine;2;Brain
0.0459496509287825;xanthine;2;Brain
0.603888922786718;xanthosine;2;Brain
0.419334027947386;1-methylhistamine;3;Brain
1.74683286037406;1-methylnicotinamide;3;Brain
0.724354890814298;2-aminoadipate;3;Brain
0.744106483795491;2-hydroxyglutarate;3;Brain
0.152921874144103;3-methyladipate/pimelate;3;Brain
1.80752546886839;3-phosphoglycerate;3;Brain
0.250510424637807;4-hydroxybenzaldehyde;3;Brain
1.90044070809699;4-pyridoxate;3;Brain
0.182714085804224;5-HIAA;3;Brain
0.206818609021507;5-adenosylhomocysteine;3;Brain
0.858844366823142;6-phosphogluconate;3;Brain
1.31217545582286;ADP;3;Brain
0.373696676545653;AMP;3;Brain
0.347126253833777;C12 carnitine;3;Brain
0.440128616031755;C14 carnitine;3;Brain
0.304836084612511;C14:0 LPC;3;Brain
0.383729408992849;C14:0 SM;3;Brain
0.447216212866267;C16 carnitine;3;Brain
0.251630573801351;C16:0 CE;3;Brain
0.0940018979257131;C16:0 LPC;3;Brain
0.120836678636627;C16:0 LPE;3;Brain
0.191044494976109;C16:0 SM;3;Brain
0.123300861809537;C16:1 LPC;3;Brain
0.330906038681542;C16:1 SM;3;Brain
0.416463900145252;C18 carnitine;3;Brain
0.11107200871892;C18:0 LPC;3;Brain
0.142662315448382;C18:0 LPE;3;Brain
0.0119883636666954;C18:0 SM;3;Brain
0.34693918212108;C18:1 CE;3;Brain
0.13181692135612;C18:1 LPC;3;Brain
0.0939411902447929;C18:1 LPE;3;Brain
0.124564466533133;C18:1 SM;3;Brain
0.364408182330649;C18:1 carnitine;3;Brain
0.307387150291839;C18:2 CE;3;Brain
0.125878518918341;C18:2 LPC;3;Brain
0.534800424293547;C18:2 SM;3;Brain
0.169752990808679;C18:2 carnitine;3;Brain
0.50659386915048;C2 carnitine;3;Brain
0.0522194081570568;C20:3 CE;3;Brain
0.103561270449068;C20:3 LPC;3;Brain
0.155609077003641;C20:4 CE;3;Brain
0.135599600846539;C20:4 LPC;3;Brain
0.14296084887898;C20:4 LPE;3;Brain
0.0164253378436518;C22:0 SM;3;Brain
0.0218971976523628;C22:1 SM;3;Brain
0.0945128413641483;C22:6 LPC;3;Brain
0.101536265445073;C22:6 LPE;3;Brain
0.205576001350667;C24:0 SM;3;Brain
0.200168531326516;C24:1 SM;3;Brain
1.24018353273499;C3 carnitine;3;Brain
0.14322606730533;C3-DC carnitine;3;Brain
0.00314257822839248;C32:0 PC;3;Brain
0.0512103248993138;C32:1 PC;3;Brain
0.367336569354906;C32:2 PC;3;Brain
0.0667869958485068;C34:1 DAG;3;Brain
0.00299419374106347;C34:1 PC;3;Brain
0.487920595927294;C34:2 DAG;3;Brain
0.0367075100091274;C34:2 PC;3;Brain
0.186886953429311;C34:3 PC;3;Brain
0.808196980849491;C34:4 PC;3;Brain
0.192039172346558;C36:1 DAG;3;Brain
0.109148281601416;C36:2 DAG;3;Brain
0.0107627843907363;C36:2 PC;3;Brain
0.29092583699414;C36:4 PC-A;3;Brain
0.026826526334;C36:4 PC-B;3;Brain
0.0712495915270749;C38:2 PC;3;Brain
0.0105842611617654;C38:4 PC;3;Brain
0.0566607543068609;C38:5 PC;3;Brain
0.0341301293118597;C38:6 PC;3;Brain
0.677147555363783;C4 carnitine;3;Brain
0.0645692560944203;C48:0 TAG;3;Brain
0.225405430956707;C48:1 TAG;3;Brain
0.458900517463373;C5 carnitine;3;Brain
0.0689986383671915;C50:0 TAG;3;Brain
0.058187807701907;C50:1 TAG;3;Brain
0.343581145559675;C50:2 TAG;3;Brain
0.15125815112117;C52:1 TAG;3;Brain
0.313250808050412;C52:2 TAG;3;Brain
0.259465552142343;C52:3 TAG;3;Brain
0.393113637691092;C52:4 TAG;3;Brain
0.19259034434713;C54:1 TAG;3;Brain
0.171255839526707;C54:10 TAG;3;Brain
0.481834626143404;C54:2 TAG;3;Brain
0.252020380289886;C54:3 TAG;3;Brain
0.551867646374317;C54:4 TAG;3;Brain
0.256545003217377;C54:5 TAG;3;Brain
0.468970531671215;C54:6 TAG;3;Brain
0.0661968656815352;C54:8 TAG;3;Brain
0.150245110564007;C56:4 TAG;3;Brain
0.0614639376141888;C56:6 TAG;3;Brain
0.164823262820289;C56:7 TAG;3;Brain
0.0869575065371216;C56:8 TAG;3;Brain
